"","W1","W2","W3","Count"
"10904","nach","der","zweiten",7
"10905","in","den","druck",7
"10906","los","zu","werden",7
"10907","ist","wieder","mal",7
"10908","um","es","mit",7
"10909","auch","dass","es",7
"10910","ein","zeichen","für",7
"10911","ich","im","moment",7
"10912","in","der","liebe",7
"10913","für","ein","wetter",7
"10914","dann","schau","ich",7
"10915","aber","nicht","alle",7
"10916","gut","auch","wenn",7
"10917","es","bei","dir",7
"10918","ist","die","eine",7
"10919","leider","keine","zeit",7
"10920","ist","ist","das",7
"10921","mir","sicher","dass",7
"10922","als","140","zeichen",7
"10923","hatte","ich","ja",7
"10924","ist","das","doch",7
"10925","das","noch","erleben",7
"10926","ist","die","in",7
"10927","ist","dass","ein",7
"10928","mit","dem","besten",7
"10929","schon","wieder","freitag",7
"10930","ja","wenn","ich",7
"10931","die","hölle","los",7
"10932","und","bis","heute",7
"10933","habe","noch","nicht",7
"10934","in","den","tod",7
"10935","die","augen","und",7
"10936","könnte","man","das",7
"10937","auf","den","lippen",7
"10938","es","ist","unglaublich",7
"10939","er","auch","nicht",7
"10940","wie","kaum","ein",7
"10941","das","nicht","dass",7
"10942","war","ich","so",7
"10943","jetzt","hab","ich's",7
"10944","game","of","thrones",7
"10945","in","seiner","heimat",7
"10946","wer","in","der",7
"10947","bis","21","uhr",7
"10948","dabei","hab","ich",7
"10949","vor","ort","ist",7
"10950","ob","das","was",7
"10951","nicht","mehr","hier",7
"10952","geplant","und","sonntag",7
"10953","sich","dafür","aus",7
"10954","on","my","way",7
"10955","nicht","in","worte",7
"10956","in","worte","fassen",7
"10957","weiß","was","ich",7
"10958","schau","mal","in",7
"10959","sind","das","für",7
"10960","dass","du","wieder",7
"10961","in","mein","bett",7
"10962","ja","auch","ne",7
"10963","in","berlin","auch",7
"10964","werden","auch","nicht",7
"10965","die","für","sie",7
"10966","bin","ich","die",7
"10967","ich","die","einzige",7
"10968","dann","brauch","ich",7
"10969","dass","sie","uns",7
"10970","und","sein","team",7
"10971","ich","werde","alt",7
"10972","ich","folge","dir",7
"10973","wir","mal","auf",7
"10974","kotzt","mich","an",7
"10975","es","einfach","mal",7
"10976","du","gar","nicht",7
"10977","nur","so","lange",7
"10978","weißt","du","wie",7
"10979","prozent","in","der",7
"10980","haben","wenn","man",7
"10981","bist","du","auf",7
"10982","schade","dass","die",7
"10983","dass","das","eine",7
"10984","und","in","berlin",7
"10985","was","sagt","die",7
"10986","an","die","neue",7
"10987","weil","er","so",7
"10988","wünscht","man","sich",7
"10989","endlich","mal","die",7
"10990","höher","als","die",7
"10991","nein","leider","nicht",7
"10992","dass","sie","eine",7
"10993","nach","einiger","zeit",7
"10994","auch","mal","zeit",7
"10995","bin","nicht","so",7
"10996","hab","ich","ein",7
"10997","sind","wir","schon",7
"10998","ich","auch","nur",7
"10999","auch","nur","die",7
"11000","viel","spaß","euch",7
"11001","ich","schon","länger",7
"11002","noch","einmal","an",7
"11003","aus","dem","büro",7
"11004","wer","hat","lust",7
"11005","kann","über","die",7
"11006","und","das","am",7
"11007","nur","auf","eine",7
"11008","die","welt","hat",7
"11009","bin","ja","schon",7
"11010","gibt","die","sich",7
"11011","oh","vielen","dank",7
"11012","dir","auch","ein",7
"11013","ja","klar","dass",7
"11014","klar","dass","er",7
"11015","wohl","mal","wieder",7
"11016","schon","immer","mal",7
"11017","und","ich","freu",7
"11018","er","hat","ja",7
"11019","hätte","ich","es",7
"11020","gefällt","mir","nicht",7
"11021","zu","gewinnen","und",7
"11022","nur","zu","einem",7
"11023","hat","sich","doch",7
"11024","dass","ich","auf",7
"11025","wird","ein","spaß",7
"11026","hat","schon","was",7
"11027","seit","einer","stunde",7
"11028","ich","bin","ich",7
"11029","sehen","ob","die",7
"11030","es","auch","sein",7
"11031","der","ist","ein",7
"11032","ist","das","jahr",7
"11033","vorbei","und","ich",7
"11034","ist","immer","so",7
"11035","doch","ein","paar",7
"11036","habt","ihr","das",7
"11037","ist","das","wirklich",7
"11038","so","auf","der",7
"11039","wenn","du","den",7
"11040","noch","am","abend",7
"11041","es","haben","sich",7
"11042","sie","auch","ein",7
"11043","ich","eigentlich","immer",7
"11044","eigentlich","immer","so",7
"11045","du","mir","das",7
"11046","denn","bei","dir",7
"11047","zweiten","teil","des",7
"11048","nicht","das","ich",7
"11049","sonst","gibt","es",7
"11050","da","habt","ihr",7
"11051","#ff","geht","heute",7
"11052","das","beste","ist",7
"11053","froh","sein","dass",7
"11054","von","der","gesellschaft",7
"11055","sind","jetzt","auch",7
"11056","gesundes","neues","jahr",7
"11057","tolles","wochenende","und",7
"11058","spaß","im","kino",7
"11059","geht","es","am",7
"11060","weiß","nicht","mehr",7
"11061","einer","studie","der",7
"11062","auch","noch","meine",7
"11063","die","letzte","runde",7
"11064","den","ersten","tagen",7
"11065","gleich","auf","den",7
"11066","das","wäre","doch",7
"11067","gerade","ein","paar",7
"11068","nur","dass","der",7
"11069","kann","ich","bei",7
"11070","kann","es","ja",7
"11071","da","auf","dem",7
"11072","willst","du","das",7
"11073","heute","noch","die",7
"11074","wie","es","geht",7
"11075","bin","schon","sehr",7
"11076","gespannt","wie","die",7
"11077","ja","auch","eher",7
"11078","ja","jetzt","wieder",7
"11079","ich","hab","meine",7
"11080","früh","ins","bett",7
"11081","ich","könnte","ja",7
"11082","heute","abend","beim",7
"11083","ich","für","meinen",7
"11084","für","den","anderen",7
"11085","gibt","nur","eine",7
"11086","auch","nicht","immer",7
"11087","ich","wollte","das",7
"11088","ist","schon","ziemlich",7
"11089","gar","nicht","gibt",7
"11090","hat","mich","jetzt",7
"11091","schnell","die","zeit",7
"11092","morgen","es","ist",7
"11093","schon","so","oft",7
"11094","nur","weil","du",7
"11095","wo","bin","ich",7
"11096","ganzen","tag","nur",7
"11097","geht","immer","noch",7
"11098","etwas","wie","die",7
"11099","ist","da","und",7
"11100","denn","heute","abend",7
"11101","die","stärke","der",7
"11102","aber","wer","weiß",7
"11103","dachte","ich","auch",7
"11104","hab","dich","nicht",7
"11105","kein","problem","sein",7
"11106","ist","ein","arschloch",7
"11107","dann","werden","sie",7
"11108","an","alle","teilnehmer",7
"11109","und","da","kann",7
"11110","die","entscheidung","ob",7
"11111","grund","für","das",7
"11112","sieht","aus","als",7
"11113","ob","sie","den",7
"11114","sind","das","nicht",7
"11115","und","mit","salz",7
"11116","geworden","zu","sein",7
"11117","noch","ein","kleiner",7
"11118","und","wieder","mal",7
"11119","wieder","mal","ein",7
"11120","guter","start","in",7
"11121","geht","es","aber",7
"11122","es","nicht","auch",7
"11123","super","vielen","dank",7
"11124","wie","findet","ihr",7
"11125","auf","die","andere",7
"11126","ist","nicht","mal",7
"11127","mir","so","gut",7
"11128","zu","spielen","und",7
"11129","in","unserer","zeit",7
"11130","und","sich","der",7
"11131","freu","mich","jetzt",7
"11132","sind","von","der",7
"11133","hat","sich","ein",7
"11134","es","gibt","einfach",7
"11135","in","der","garage",7
"11136","was","sagt","ihr",7
"11137","gestern","war","ich",7
"11138","mag","ja","sein",7
"11139","heute","abend","ist",7
"11140","links","und","rechts",7
"11141","ein","wenig","auf",7
"11142","das","sei","eine",7
"11143","dass","sie","mir",7
"11144","gar","nicht","da",7
"11145","befinden","sich","in",7
"11146","weiß","jemand","was",7
"11147","bin","leider","nicht",7
"11148","habe","mich","nicht",7
"11149","auch","einen","neuen",7
"11150","in","regelmäßigen","abständen",7
"11151","noch","da","und",7
"11152","man","es","mit",7
"11153","weil","es","eine",7
"11154","20","uhr","in",7
"11155","die","nächsten","zwei",7
"11156","ist","sehr","schön",7
"11157","zu","wollen","und",7
"11158","habe","eine","neue",7
"11159","jahr","nach","dem",7
"11160","viel","spaß","heute",7
"11161","schon","wieder","den",7
"11162","bin","ich","denn",7
"11163","bei","interesse","bitte",7
"11164","gar","nicht","sein",7
"11165","das","ist","im",7
"11166","this","is","the",7
"11167","nicht","so","mit",7
"11168","durch","den","park",7
"11169","ihnen","ein","schönes",7
"11170","und","frage","mich",7
"11171","dass","das","ein",7
"11172","dann","ja","auch",7
"11173","zum","glück","habe",7
"11174","glück","habe","ich",7
"11175","ich","weiß","aber",7
"11176","einfach","viel","zu",7
"11177","auch","schon","ganz",7
"11178","seh","ich","auch",7
"11179","danke","dass","ihr",7
"11180","die","sind","aber",7
"11181","das","ist","wichtig",7
"11182","ist","nach","dem",7
"11183","oder","es","wird",7
"11184","warum","dann","nicht",7
"11185","und","ich","brauche",7
"11186","dass","man","so",7
"11187","sich","wenn","man",7
"11188","wenn","man","gerade",7
"11189","länger","nicht","mehr",7
"11190","denn","ich","werde",7
"11191","ich","mir","sorgen",7
"11192","der","weg","zum",7
"11193","in","der","kölner",7
"11194","ist","wieder","ein",7
"11195","für","das","team",7
"11196","besuch","in","der",7
"11197","ich","gestern","abend",7
"11198","nehme","ich","an",7
"11199","ist","mir","die",7
"11200","im","17","jahrhundert",7
"11201","ende","der","ersten",7
"11202","habe","kann","ich",7
"11203","bin","mir","nicht",7
"11204","was","ist","schon",7
"11205","mit","dem","ipad",7
"11206","in","der","rolle",7
"11207","auf","dem","teller",7
"11208","war","nicht","so",7
"11209","ich","hab","gehört",7
"11210","was","macht","eigentlich",7
"11211","das","ich","die",7
"11212","das","ich","jetzt",7
"11213","noch","mit","der",7
"11214","ist","sowas","von",7
"11215","hoffe","nur","dass",7
"11216","denn","bei","der",7
"11217","ich","weiß","immer",7
"11218","mich","doch","nicht",7
"11219","doch","nicht","mehr",7
"11220","war","ich","dann",7
"11221","die","noch","in",7
"11222","auf","mich","und",7
"11223","sind","habe","ich",7
"11224","was","ich","so",7
"11225","mit","social","media",7
"11226","im","büro","ist",7
"11227","so","richtig","in",7
"11228","hat","was","von",7
"11229","in","der","wissenschaft",7
"11230","freuen","wenn","ihr",7
"11231","er","in","seiner",7
"11232","es","ist","jetzt",7
"11233","als","er","den",7
"11234","auf","einladung","des",7
"11235","um","23","uhr",7
"11236","ich","zu","hause",7
"11237","wird","das","ist",7
"11238","man","bedenkt","wie",7
"11239","ich","mal","ne",7
"11240","soll","man","da",7
"11241","das","wird","ne",7
"11242","am","sonntag","die",7
"11243","geburtstag","alles","gute",7
"11244","als","würde","man",7
"11245","hat","kann","man",7
"11246","um","ihn","zu",7
"11247","ja","wir","sind",7
"11248","sonst","noch","so",7
"11249","woher","soll","ich",7
"11250","zusammen","mit","seinem",7
"11251","sag","bescheid","wenn",7
"11252","hier","und","dort",7
"11253","gucken","und","dann",7
"11254","denn","mit","der",7
"11255","da","hat","die",7
"11256","der","zeit","vom",7
"11257","dann","mal","schnell",7
"11258","habe","ich","nichts",7
"11259","da","ich","die",7
"11260","ach","ja","ich",7
"11261","zwischen","israel","und",7
"11262","dir","in","der",7
"11263","wir","brauchen","die",7
"11264","schnell","in","die",7
"11265","wünscht","allen","ein",7
"11266","in","meinem","bett",7
"11267","hat","er","seine",7
"11268","hat","ein","ende",7
"11269","aus","dem","garten",7
"11270","weißt","du","das",7
"11271","ist","auch","für",7
"11272","in","meinem","nächsten",7
"11273","meinem","nächsten","leben",7
"11274","wer","macht","mit",7
"11275","bei","mir","schon",7
"11276","es","noch","mehr",7
"11277","in","den","raum",7
"11278","sich","das","eichhörnchen",7
"11279","was","zur","hölle",7
"11280","sich","in","ihrer",7
"11281","er","sich","auch",7
"11282","ist","es","vielleicht",7
"11283","wie","letztes","jahr",7
"11284","einen","guten","tag",7
"11285","und","wir","müssen",7
"11286","morgen","und","eine",7
"11287","wir","wollen","eine",7
"11288","eine","liste","mit",7
"11289","über","die","gründe",7
"11290","eine","beteiligung","der",7
"11291","noch","4","tage",7
"11292","der","lage","sind",7
"11293","deswegen","habe","ich",7
"11294","sollte","man","das",7
"11295","in","eine","schüssel",7
"11296","eine","schüssel","geben",7
"11297","von","14","bis",7
"11298","ich","habe","nichts",7
"11299","die","ich","mich",7
"11300","es","nicht","und",7
"11301","war","das","bei",7
"11302","noch","2","tage",7
"11303","mich","aus","dem",7
"11304","nun","gibt","es",7
"11305","kommst","du","denn",7
"11306","ist","die","stimmung",7
"11307","kennst","du","den",7
"11308","auf","dem","oktoberfest",7
"11309","spvgg","greuther","fürth",7
"11310","die","nutzung","der",7
"11311","für","den","tip",7
"11312","jugend","von","heute",7
"11313","einfach","mal","auf",7
"11314","geht","in","den",7
"11315","den","ich","mich",7
"11316","ich","will","hier",7
"11317","nun","muss","ich",7
"11318","auf","allen","ebenen",7
"11319","so","ist","der",7
"11320","die","letzte","woche",7
"11321","habt","ihr","nicht",7
"11322","geben","und","mit",7
"11323","nur","weil","er",7
"11324","heute","wird","es",7
"11325","und","das","spiel",7
"11326","das","spiel","mit",7
"11327","es","ist","halt",7
"11328","für","euch","da",7
"11329","wenn","ich","da",7
"11330","nun","auch","bei",7
"11331","du","hast","noch",7
"11332","wetten","dass","moderieren",7
"11333","zu","spät","zur",7
"11334","ab","16","uhr",7
"11335","haben","sie","keine",7
"11336","will","ich","jetzt",7
"11337","ist","nicht","von",7
"11338","kann","wenn","man",7
"11339","immer","mehr","zu",7
"11340","ist","und","sie",7
"11341","ein","guter","mensch",7
"11342","was","ich","für",7
"11343","danach","ging","es",7
"11344","ich","hau","mich",7
"11345","freue","mich","darauf",7
"11346","wenn","ich","nach",7
"11347","in","einer","der",7
"11348","in","die","eigene",7
"11349","hab","jetzt","auch",7
"11350","kommt","auf","das",7
"11351","hier","habe","ich",7
"11352","damals","wie","heute",7
"11353","danke","euch","für",7
"11354","wie","aus","einem",7
"11355","da","war","was",7
"11356","ich","hoffe","sehr",7
"11357","auch","auf","facebook",7
"11358","durch","den","wald",7
"11359","augen","zu","und",7
"11360","was","bedeutet","das",7
"11361","eine","stunde","länger",7
"11362","mit","mir","in",7
"11363","in","unserem","land",7
"11364","sind","auch","immer",7
"11365","0","für","die",7
"11366","ich","bin","am",7
"11367","man","für","den",7
"11368","es","kann","nur",7
"11369","kann","nur","besser",7
"11370","vorstellen","dass","das",7
"11371","es","wird","sich",7
"11372","ich","sitze","im",7
"11373","ich","bin","beeindruckt",7
"11374","der","nicht","mehr",7
"11375","zu","social","media",7
"11376","übrigens","habe","ich",7
"11377","ja","noch","ein",7
"11378","in","berlin","bei",7
"11379","kann","ich","verstehen",7
"11380","bei","mir","läuft",7
"11381","und","sich","auf",7
"11382","und","manchmal","auch",7
"11383","der","hand","zu",7
"11384","zum","glück","war",7
"11385","was","als","nächstes",7
"11386","all","den","jahren",7
"11387","nach","3","tagen",7
"11388","werde","ich","die",7
"11389","alle","ein","bisschen",7
"11390","das","was","die",7
"11391","die","üblichen","verdächtigen",7
"11392","einfach","auf","die",7
"11393","ich","will","meine",7
"11394","war","von","anfang",7
"11395","in","der","entwicklung",7
"11396","das","auch","bei",7
"11397","alles","liebe","zum",7
"11398","die","menschen","zu",7
"11399","platz","für","das",7
"11400","ja","ich","will",7
"11401","du","da","bist",7
"11402","schon","am","anfang",7
"11403","sind","die","die",7
"11404","fragen","zu","stellen",7
"11405","aus","der","heimat",7
"11406","dann","wenn","der",7
"11407","tut","man","nicht",7
"11408","die","man","auch",7
"11409","dass","das","der",7
"11410","und","sie","war",7
"11411","das","haus","verlassen",7
"11412","mir","an","der",7
"11413","was","los","ist",7
"11414","größer","als","die",7
"11415","aber","ist","der",7
"11416","hast","du","ihn",7
"11417","wie","soll","das",7
"11418","mit","ihren","kindern",7
"11419","allerdings","in","einer",7
"11420","sich","so","viele",7
"11421","ist","halt","nicht",7
"11422","und","dann","gleich",7
"11423","so","weit","weg",7
"11424","so","schön","sein",7
"11425","sind","wir","jetzt",7
"11426","geht","ja","nicht",7
"11427","das","ich","es",7
"11428","bin","habe","ich",7
"11429","die","sonne","nicht",7
"11430","geht","aber","auch",7
"11431","noch","etwas","zu",7
"11432","gar","nicht","aufgefallen",7
"11433","human","rights","watch",7
"11434","in","vergessenheit","geraten",7
"11435","werden","muss","und",7
"11436","für","die","aufklärung",7
"11437","nichts","besseres","zu",7
"11438","bei","euch","in",7
"11439","die","das","land",7
"11440","sind","sie","die",7
"11441","ist","immer","eine",7
"11442","eine","reise","wert",7
"11443","fall","ist","das",7
"11444","eine","gute","nachricht",7
"11445","mir","bitte","mal",7
"11446","auf","eis","gelegt",7
"11447","hatte","und","die",7
"11448","war","für","uns",7
"11449","die","letzten","monate",7
"11450","sonst","hätte","ich",7
"11451","dass","ich","nach",7
"11452","sein","mit","der",7
"11453","nach","der","sommerpause",7
"11454","das","große","ganze",7
"11455","die","arbeit","des",7
"11456","ob","sich","das",7
"11457","bin","am","überlegen",7
"11458","sehen","was","ich",7
"11459","nach","2","jahren",7
"11460","ist","ist","auch",7
"11461","sich","nicht","über",7
"11462","hat","sie","mir",7
"11463","mit","der","s-bahn",7
"11464","weisheit","des","tages",7
"11465","er","hat","ein",7
"11466","live","in","der",7
"11467","ihr","das","wenn",7
"11468","das","neue","design",7
"11469","und","auch","auf",7
"11470","um","20","15",7
"11471","ich","kann","euch",7
"11472","von","den","zwei",7
"11473","der","guten","alten",7
"11474","der","sozialen","netzwerke",7
"11475","zu","tun","hatte",7
"11476","ist","das","dann",7
"11477","hat","und","der",7
"11478","aber","nicht","viel",7
"11479","für","die","kunden",7
"11480","der","rechtsextremen","szene",7
"11481","willst","du","nicht",7
"11482","will","das","nicht",7
"11483","das","mach","ich",7
"11484","herzlichen","dank","an",7
"11485","wir","sind","hier",7
"11486","ich","kann","den",7
"11487","nicht","mehr","ertragen",7
"11488","ganz","schön","auf",7
"11489","wir","haben","doch",7
"11490","als","ich","meine",7
"11491","nicht","vergessen","morgen",7
"11492","hier","gab","es",7
"11493","gab","es","heute",7
"11494","an","einer","neuen",7
"11495","da","will","ich",7
"11496","sich","für","mich",7
"11497","haben","noch","ein",7
"11498","endlich","mal","eine",7
"11499","aber","bei","dem",7
"11500","klingt","nach","einem",7
"11501","hat","mir","der",7
"11502","viel","spass","auf",7
"11503","wo","wir","uns",7
"11504","zu","erhalten","und",7
"11505","das","jahr","2010",7
"11506","nur","noch","wenig",7
"11507","alles","für","den",7
"11508","wird","und","ich",7
"11509","das","können","wir",7
"11510","ich","habe","leider",7
"11511","allem","auf","den",7
"11512","muss","mal","wieder",7
"11513","sein","mit","dem",7
"11514","für","bis","zu",7
"11515","das","licht","der",7
"11516","bei","uns","und",7
"11517","aus","wenn","man",7
"11518","viel","erfolg","für",7
"11519","du","nicht","die",7
"11520","ich","nicht","schon",7
"11521","so","früh","wach",7
"11522","haben","sie","auch",7
"11523","aber","für","den",7
"11524","überlege","ob","ich",7
"11525","und","was","hast",7
"11526","sie","sich","bei",7
"11527","dann","geht","das",7
"11528","in","brüssel","die",7
"11529","aus","um","die",7
"11530","ist","echt","super",7
"11531","auch","nicht","vergessen",7
"11532","an","den","neuen",7
"11533","einen","schönen","urlaub",7
"11534","werden","in","diesem",7
"11535","es","zeit","für",7
"11536","sie","aus","der",7
"11537","hat","heute","geburtstag",7
"11538","mal","wieder","da",7
"11539","ein","wichtiges","thema",7
"11540","mit","den","vielen",7
"11541","hat","er","aber",7
"11542","ja","schon","fast",7
"11543","im","frühjahr","2012",7
"11544","darauf","hinweisen","dass",7
"11545","dass","ich","nun",7
"11546","hab","ich","keine",7
"11547","an","einem","anderen",7
"11548","sogar","in","der",7
"11549","werden","um","den",7
"11550","dank","für","ihre",7
"11551","macht","sich","auch",7
"11552","so","kommt","es",7
"11553","in","der","kleinen",7
"11554","nicht","mal","das",7
"11555","den","rücken","zu",7
"11556","was","ist","den",7
"11557","feststellen","dass","man",7
"11558","in","frankreich","und",7
"11559","weiter","auf","die",7
"11560","innerhalb","weniger","wochen",7
"11561","schön","das","du",7
"11562","davon","ab","wie",7
"11563","muss","aber","nicht",7
"11564","nicht","wenn","sie",7
"11565","auf","den","fotos",7
"11566","mal","jemand","die",7
"11567","und","dann","habe",7
"11568","wieder","an","bord",7
"11569","aus","als","hätte",7
"11570","in","der","mensa",7
"11571","werden","die","sich",7
"11572","die","sonne","wieder",7
"11573","in","die","timeline",7
"11574","das","in","einem",7
"11575","so","lange","es",7
"11576","als","wir","uns",7
"11577","in","dieser","sache",7
"11578","der","arbeit","zu",7
"11579","ist","zu","klein",7
"11580","bei","euch","so",7
"11581","hatte","er","sich",7
"11582","eine","gute","chance",7
"11583","eine","andere","art",7
"11584","auf","dem","weihnachtsmarkt",7
"11585","das","heißt","dass",7
"11586","dass","sie","nach",7
"11587","sie","nach","der",7
"11588","nun","erst","einmal",7
"11589","nächste","woche","wird",7
"11590","robert","cias","debütroman",7
"11591","cias","debütroman","sex",7
"11592","debütroman","sex","in",7
"11593","ich","mir","bei",7
"11594","ne","das","ist",7
"11595","dem","sie","sich",7
"11596","sich","die","mühe",7
"11597","und","wird","von",7
"11598","ersten","quartal","2011",7
"11599","wer","kann","helfen",7
"11600","aufrecht","zu","erhalten",7
"11601","die","polizei","und",7
"11602","ich","schäme","mich",7
"11603","du","heute","abend",7
"11604","ich","hab","echt",7
"11605","in","aller","ruhe",7
"11606","er","kann","es",7
"11607","hier","bei","twitter",7
"11608","das","ist","leider",7
"11609","noch","2","stunden",7
"11610","auf","die","zukunft",7
"11611","und","die","menschen",7
"11612","ich","letzte","woche",7
"11613","dann","fiel","mir",7
"11614","fiel","mir","ein",7
"11615","dass","er","mir",7
"11616","dass","man","seine",7
"11617","mal","die","augen",7
"11618","viele","liebe","grüße",7
"11619","ein","junger","mann",7
"11620","aber","mal","wieder",7
"11621","die","sich","am",7
"11622","sich","am","nachmittag",7
"11623","und","dann","gibt",7
"11624","um","19","00",7
"11625","der","wirtschaft","und",7
"11626","an","einem","montag",7
"11627","dem","druck","der",7
"11628","zum","beispiel","für",7
"11629","da","weiß","man",7
"11630","ein","neuer","tag",7
"11631","dann","auch","mit",7
"11632","war","es","im",7
"11633","für","alles","was",7
"11634","samstag","und","sonntag",7
"11635","wir","schauen","uns",7
"11636","oder","war","das",7
"11637","von","allem","was",7
"11638","guten","morgen","der",7
"11639","seit","jahren","auf",7
"11640","mir","bekannt","vor",7
"11641","am","morgen","vertreibt",7
"11642","ich","muss","zugeben",7
"11643","noch","nicht","viel",7
"11644","von","denen","ich",7
"11645","ich","viel","zu",7
"11646","und","nicht","der",7
"11647","also","ein","paar",7
"11648","das","gleiche","gilt",7
"11649","ja","mal","ein",7
"11650","ganz","ehrlich","ich",7
"11651","ich","möchte","gern",7
"11652","sich","nach","den",7
"11653","fällt","auf","dass",7
"11654","dass","er","auch",7
"11655","er","auch","schon",7
"11656","eine","sehr","schöne",7
"11657","werden","die","ersten",7
"11658","ein","frohes","und",7
"11659","ich","so","eine",7
"11660","schauen","ob","ich",7
"11661","zu","vergessen","die",7
"11662","fest","dass","ich",7
"11663","ich","mir","morgen",7
"11664","war","es","noch",7
"11665","für","die","sie",7
"11666","find","ich","aber",7
"11667","und","dann","zum",7
"11668","durch","die","medien",7
"11669","gab","es","bereits",7
"11670","das","nicht","die",7
"11671","das","schlimme","ist",7
"11672","eine","wohnung","in",7
"11673","durch","die","luft",7
"11674","hatte","noch","nie",7
"11675","erinnere","mich","an",7
"11676","in","die","richtung",7
"11677","ich","wollte","eigentlich",7
"11678","die","grenze","zu",7
"11679","nicht","in","dem",7
"11680","und","so","kann",7
"11681","ich","am","sonntag",7
"11682","unter","der","bettdecke",7
"11683","ich","leg","mich",7
"11684","hat","mich","nicht",7
"11685","ich","möchte","nicht",7
"11686","am","überlegen","ob",7
"11687","dass","das","mit",7
"11688","aus","dass","das",7
"11689","mit","ihren","eltern",7
"11690","dem","was","man",7
"11691","so","mal","wieder",7
"11692","wird","über","die",7
"11693","ich","will","den",7
"11694","was","ich","alles",7
"11695","war","es","wieder",7
"11696","zu","retten","ist",7
"11697","und","dann","ins",7
"11698","wo","warst","du",7
"11699","am","ende","auch",7
"11700","bin","ich","geh",7
"11701","nächste","woche","ist",7
"11702","wahrscheinlich","auch","nicht",7
"11703","vielleicht","auch","noch",7
"11704","dass","es","ihnen",7
"11705","und","siehe","da",7
"11706","auch","nichts","mehr",7
"11707","nicht","mehr","was",7
"11708","lange","nicht","dass",7
"11709","würde","ich","ja",7
"11710","ein","gefühl","der",7
"11711","es","tut","uns",7
"11712","fertig","für","heute",7
"11713","gegen","den","abstieg",7
"11714","von","der","seite",7
"11715","mir","doch","noch",7
"11716","nicht","mehr","ab",7
"11717","die","letzte","chance",7
"11718","der","tag","war",7
"11719","wussten","sie","dass",7
"11720","drücken","die","daumen",7
"11721","da","sind","sie",7
"11722","nach","dem","lesen",7
"11723","sind","wir","noch",7
"11724","nicht","wie","es",7
"11725","ich","es","dann",7
"11726","mir","ein","wenig",7
"11727","für","die","rechte",7
"11728","man","weiß","dass",7
"11729","der","auswahl","des",7
"11730","daher","habe","ich",7
"11731","nicht","mehr","schlafen",7
"11732","was","die","da",7
"11733","mal","im","ernst",7
"11734","und","ist","damit",7
"11735","die","gründe","für",7
"11736","das","problem","mit",7
"11737","ein","ticket","für",7
"11738","wünschen","allen","followern",7
"11739","ich","auf","jeden",7
"11740","oma","und","opa",7
"11741","am","15","oktober",7
"11742","man","sich","immer",7
"11743","und","immer","mehr",7
"11744","auf","den","höchsten",7
"11745","habe","ich","nie",7
"11746","sich","auch","um",7
"11747","nach","hause","nehmen",7
"11748","sie","uns","auf",7
"11749","ich","auf","den",7
"11750","bist","du","jetzt",7
"11751","eine","sehr","große",7
"11752","schon","für","die",7
"11753","nicht","den","ganzen",7
"11754","nett","von","dir",7
"11755","sehen","aus","wie",7
"11756","alice","im","wunderland",7
"11757","was","der","tag",7
"11758","können","aber","auch",7
"11759","in","den","westen",7
"11760","am","sonntag","den",7
"11761","bisher","noch","keine",7
"11762","will","ich","aber",7
"11763","dass","ich","wieder",7
"11764","noch","eine","kleine",7
"11765","noch","ein","bier",7
"11766","ich","frage","für",7
"11767","hatte","ich","mich",7
"11768","auf","den","plätzen",7
"11769","in","spanien","und",7
"11770","ich","dann","die",7
"11771","mich","auch","noch",7
"11772","die","menge","an",7
"11773","zum","glück","noch",7
"11774","jetzt","auch","wieder",7
"11775","wieder","an","der",7
"11776","hat","die","autorin",7
"11777","ein","paar","seiten",7
"11778","gast","in","der",7
"11779","könnt","ihr","auch",7
"11780","und","selbst","wenn",7
"11781","auch","nicht","an",7
"11782","wie","die","meisten",7
"11783","aus","der","mode",7
"11784","der","ist","so",7
"11785","dass","man","als",7
"11786","wie","das","so",7
"11787","in","einem","sehr",7
"11788","dieser","stelle","noch",7
"11789","ist","jetzt","auf",7
"11790","oder","was","auch",7
"11791","das","ist","übrigens",7
"11792","die","sonne","und",7
"11793","mir","jemand","einen",7
"11794","ich","habe","doch",7
"11795","noch","viel","spaß",7
"11796","kann","es","sich",7
"11797","von","standard","poor's",7
"11798","für","die","schule",7
"11799","die","lage","ist",7
"11800","in","der","stadthalle",7
"11801","ist","echt","gut",7
"11802","mehr","mit","der",7
"11803","wir","hatten","eine",7
"11804","und","man","hat",7
"11805","morgens","um","halb",7
"11806","das","für","uns",7
"11807","gar","nicht","nach",7
"11808","wenn","man","weiß",7
"11809","fehler","in","der",7
"11810","über","eine","neue",7
"11811","ist","die","stadt",7
"11812","ich","ja","so",7
"11813","und","was","er",7
"11814","ich","es","heute",7
"11815","mit","einem","eigenen",7
"11816","tickets","für","das",7
"11817","das","wird","so",7
"11818","ihm","und","seinem",7
"11819","zu","denen","die",7
"11820","zu","sein","aber",7
"11821","an","der","uhr",7
"11822","erwähnt","dass","ich",7
"11823","einer","terroristischen","vereinigung",7
"11824","einblicke","in","die",7
"11825","wo","seid","ihr",7
"11826","bus","und","bahn",7
"11827","es","sind","keine",7
"11828","ich","mir","sicher",7
"11829","als","ich","dachte",7
"11830","du","nicht","mal",7
"11831","guten","morgen","wir",7
"11832","frage","ist","ob",7
"11833","anderen","seite","des",7
