"","W1","W2","W3","W4","Count"
"1217","das","wird","ein","spaß",6
"1218","was","mach","ich","denn",6
"1219","mal","sehen","ob","die",6
"1220","und","ich","habe","die",6
"1221","ganz","und","gar","nicht",6
"1222","stell","dir","vor","es",6
"1223","es","sieht","so","aus",6
"1224","das","ist","das","was",6
"1225","kann","man","schon","mal",6
"1226","für","den","tipp","ich",6
"1227","habe","mich","sehr","darüber",6
"1228","mich","sehr","darüber","gefreut",6
"1229","was","ist","eigentlich","aus",6
"1230","wie","kann","man","die",6
"1231","und","schon","bin","ich",6
"1232","guten","morgen","euch","allen",6
"1233","immer","noch","in","der",6
"1234","danke","für","die","antwort",6
"1235","hab","ich","mich","auch",6
"1236","was","soll","das","denn",6
"1237","ich","für","meinen","teil",6
"1238","vor","allem","weil","ich",6
"1239","ich","weiß","immer","noch",6
"1240","wie","schnell","die","zeit",6
"1241","lange","nicht","mehr","so",6
"1242","auf","dem","weg","zurück",6
"1243","doch","nicht","wahr","sein",6
"1244","in","der","stadt","in",6
"1245","ich","nach","wie","vor",6
"1246","hab","ich","ja","schon",6
"1247","ist","jetzt","nicht","so",6
"1248","auch","ein","schönes","wochenende",6
"1249","in","der","hoffnung","das",6
"1250","seh","ich","auch","so",6
"1251","ich","weiß","nicht","warum",6
"1252","für","den","heutigen","tag",6
"1253","schade","dass","ich","nicht",6
"1254","ich","drück","dir","die",6
"1255","auf","dem","ersten","blick",6
"1256","hat","nichts","mit","der",6
"1257","gibt","es","eigentlich","eine",6
"1258","was","für","ein","schöner",6
"1259","fast","so","gut","wie",6
"1260","sag","bescheid","wenn","du",6
"1261","lass","es","dir","schmecken",6
"1262","in","meinem","nächsten","leben",6
"1263","viel","spaß","auf","dem",6
"1264","zum","ersten","mal","im",6
"1265","das","denn","für","ein",6
"1266","nach","hause","zu","fahren",6
"1267","guten","morgen","und","eine",6
"1268","es","wird","zeit","dass",6
"1269","der","grund","warum","ich",6
"1270","mal","sehen","ob","das",6
"1271","das","kann","ich","nur",6
"1272","hat","man","schon","mal",6
"1273","gibt","es","ja","noch",6
"1274","es","ist","viel","zu",6
"1275","ist","viel","zu","früh",6
"1276","auf","dem","laufenden","halten",6
"1277","was","es","mal","war",6
"1278","aber","jetzt","bin","ich",6
"1279","ich","bin","dafür","dass",6
"1280","wir","nicht","alle","ein",6
"1281","aber","es","lohnt","sich",6
"1282","wenn","mir","langweilig","ist",6
"1283","ich","glaube","dass","wir",6
"1284","gute","zum","geburtstag","und",6
"1285","man","nicht","alles","für",6
"1286","dass","ich","in","der",6
"1287","ich","will","doch","nur",6
"1288","tage","an","denen","man",6
"1289","schönen","guten","morgen","und",6
"1290","ich","schon","erwähnt","dass",6
"1291","danke","für","das","lob",6
"1292","tut","mir","leid","aber",6
"1293","nichts","besseres","zu","tun",6
"1294","wünsche","allen","einen","guten",6
"1295","so","wie","es","aussieht",6
"1296","ich","hoffe","dass","es",6
"1297","aber","in","jedem","fall",6
"1298","ich","kann","so","nicht",6
"1299","kann","mir","nicht","vorstellen",6
"1300","auf","jeden","fall","ich",6
"1301","bis","zum","ende","der",6
"1302","in","diesem","jahr","und",6
"1303","dann","hoffen","wir","mal",6
"1304","dir","ein","schönes","wochenende",6
"1305","hat","jemand","einen","tipp",6
"1306","auch","nicht","mehr","so",6
"1307","liegt","auf","der","hand",6
"1308","dann","ist","ja","gut",6
"1309","ist","noch","lange","nicht",6
"1310","und","ich","weiß","nicht",6
"1311","österreich","und","der","schweiz",6
"1312","ich","bin","nicht","der",6
"1313","wenn","ich","mir","die",6
"1314","so","wird","das","nix",6
"1315","den","weg","zur","arbeit",6
"1316","ich","hab","keine","ahnung",6
"1317","jetzt","muss","ich","nur",6
"1318","mal","gucken","ob","ich",6
"1319","unter","ausschluss","der","öffentlichkeit",6
"1320","freuen","uns","auf","den",6
"1321","wir","werden","alle","sterben",6
"1322","wir","sind","auf","dem",6
"1323","wenn","ich","fragen","darf",6
"1324","wir","sind","auf","der",6
"1325","ist","das","nicht","der",6
"1326","für","den","hinweis","wir",6
"1327","habe","ich","mich","auch",6
"1328","bin","ich","aber","mal",6
"1329","am","ende","des","tages",6
"1330","die","sich","für","eine",6
"1331","mir","sehr","gut","gefallen",6
"1332","kommt","mir","bekannt","vor",6
"1333","wenn","es","sich","um",6
"1334","freuen","uns","auf","sie",6
"1335","wir","drücken","die","daumen",6
"1336","an","ort","und","stelle",6
"1337","dass","ich","nicht","in",6
"1338","für","die","menschen","in",6
"1339","davon","aus","dass","das",6
"1340","ich","liebe","dich","3",6
"1341","freuen","uns","schon","auf",6
"1342","freuen","sich","auf","die",6
"1343","mich","auf","den","weg",6
"1344","ist","aber","immer","noch",6
"1345","ja","nee","is","klar",6
"1346","mal","mehr","mal","weniger",6
"1347","aus","dem","urlaub","zurück",6
"1348","ist","wenn","man","sich",6
"1349","zu","gast","in","der",6
"1350","vor","allem","von","der",6
"1351","ich","habe","mich","nicht",6
"1352","bin","stolz","auf","dich",6
"1353","habe","ich","in","den",6
"1354","und","freuen","uns","über",6
"1355","nicht","mehr","auf","dem",6
"1356","mir","nicht","sicher","ob",6
"1357","nicht","so","gut","aber",6
"1358","es","hat","spaß","gemacht",6
"1359","sehen","wie","lange","ich",6
"1360","bin","ich","mir","sicher",6
"1361","start","ins","neue","jahr",6
"1362","öfter","mal","was","neues",6
"1363","den","ganzen","tag","lang",6
"1364","ich","kann","gar","nicht",6
"1365","für","das","jahr","2011",6
"1366","das","leben","ist","zu",6
"1367","einen","schönen","tag","und",6
"1368","ohne","zu","wissen","was",6
"1369","man","kann","sich","nicht",6
"1370","dann","wünsch","ich","dir",6
"1371","gibt","es","so","viele",6
"1372","für","das","nächste","jahr",6
"1373","wenn","das","mal","kein",6
"1374","ich","würde","ja","gerne",6
"1375","was","passiert","wenn","die",6
"1376","ja","nicht","so","dass",6
"1377","danke","für","die","schnelle",6
"1378","bin","schon","ganz","gespannt",6
"1379","hätte","nie","gedacht","dass",6
"1380","heißt","aber","nicht","dass",6
"1381","das","problem","ist","dass",6
"1382","in","der","letzten","saison",6
"1383","guten","morgen","alle","zusammen",6
"1384","meine","damen","und","herren",6
"1385","und","ab","und","zu",6
"1386","nach","wie","vor","sehr",6
"1387","keine","ahnung","was","das",6
"1388","es","geht","um","eine",6
"1389","so","soll","es","sein",6
"1390","ich","doch","gar","nicht",6
"1391","ich","auf","jeden","fall",6
"1392","ich","auch","schon","mal",6
"1393","jetzt","weiß","ich","auch",6
"1394","ist","denn","da","los",6
"1395","auch","noch","nicht","so",6
"1396","an","und","für","die",6
"1397","mal","schauen","ob","ich",6
"1398","in","die","hand","zu",6
"1399","das","ist","ja","ein",6
"1400","jetzt","ist","es","raus",6
"1401","in","der","aktuellen","ausgabe",6
"1402","das","leben","ist","schön",6
"1403","in","deinem","land","nicht",6
"1404","und","ich","muss","sagen",6
"1405","es","gibt","menschen","die",6
"1406","gibt","es","immer","noch",6
"1407","jeden","tag","ein","bisschen",6
"1408","in","ein","paar","jahren",6
"1409","im","laufe","der","woche",6
"1410","nicht","mehr","als","ein",6
"1411","#ff","geht","heute","an",6
"1412","so","stelle","ich","mir",6
"1413","hier","gibt","es","nur",6
"1414","bin","auf","der","suche",6
"1415","auch","wenn","ich","es",6
"1416","fehlt","nur","noch","das",6
"1417","für","die","guten","wünsche",6
"1418","es","in","diesem","jahr",6
"1419","und","was","soll","ich",6
"1420","wäre","es","mit","einem",6
"1421","ein","bisschen","wie","in",6
"1422","geht","es","weiter","mit",6
"1423","nicht","ob","ich","mich",6
"1424","nur","noch","eine","frage",6
"1425","und","dann","bin","ich",6
"1426","wir","sind","in","der",6
"1427","wie","kann","man","denn",6
"1428","bin","mal","gespannt","was",6
"1429","in","den","letzten","zehn",6
"1430","dass","er","nicht","mehr",6
"1431","da","ist","was","dran",6
"1432","die","suche","nach","einer",6
"1433","und","jetzt","muss","ich",6
"1434","auch","gar","nicht","mehr",6
"1435","eigentlich","wollte","ich","ja",6
"1436","aber","es","hat","sich",6
"1437","oben","auf","der","liste",6
"1438","vor","allem","auf","die",6
"1439","freu","mich","auf","den",6
"1440","dass","man","sich","nicht",6
"1441","in","bezug","auf","den",6
"1442","in","bezug","auf","das",6
"1443","guten","start","ins","wochenende",6
"1444","was","macht","ihr","so",6
"1445","bei","dem","schönen","wetter",6
"1446","zum","ersten","mal","bei",6
"1447","das","ist","mehr","als",6
"1448","eine","halbe","stunde","später",6
"1449","aber","es","gibt","ja",6
"1450","geht","es","in","der",6
"1451","der","mann","mit","dem",6
"1452","was","habt","ihr","denn",6
"1453","ich","mir","nicht","sicher",6
"1454","von","unten","nach","oben",6
"1455","ich","kann","mir","vorstellen",6
"1456","und","dann","ist","da",6
"1457","bin","ich","aber","nicht",6
"1458","ich","warte","immer","noch",6
"1459","ich","an","dieser","stelle",6
"1460","von","zeit","zu","zeit",6
"1461","handelt","sich","um","das",6
"1462","davon","ausgegangen","dass","die",6
"1463","wir","uns","in","der",6
"1464","da","kann","man","nur",6
"1465","ist","es","zu","spät",6
"1466","ich","weiß","dass","es",6
"1467","bleibt","zu","hoffen","dass",6
"1468","wer","hätte","gedacht","dass",6
"1469","schon","länger","nicht","mehr",6
"1470","das","ist","einer","der",6
"1471","ich","mir","nicht","vorstellen",6
"1472","viel","spaß","mit","den",6
"1473","in","der","letzten","runde",6
"1474","und","dann","in","den",6
"1475","in","der","nächsten","runde",6
"1476","euch","allen","ein","tolles",6
"1477","nicht","allzu","langer","zeit",6
"1478","nicht","sicher","ob","ich",6
"1479","habe","ich","noch","nicht",6
"1480","freue","mich","schon","darauf",6
"1481","muss","auch","mal","sein",6
"1482","da","freut","man","sich",6
"1483","nur","halb","so","viel",6
"1484","auf","einem","guten","weg",6
"1485","aber","auch","nicht","mehr",6
"1486","und","die","damit","verbundene",6
"1487","ist","aber","nicht","nur",6
"1488","und","dann","werde","ich",6
"1489","zwischen","arm","und","reich",6
"1490","vor","allem","bei","der",6
"1491","für","die","deutsche","wirtschaft",6
"1492","rund","um","das","thema",6
"1493","nicht","die","ganze","zeit",6
"1494","weiß","ich","gar","nicht",6
"1495","nein","es","ist","nicht",6
"1496","ich","bin","so","froh",6
"1497","was","zu","tun","ist",6
"1498","den","ausstieg","aus","der",6
"1499","zum","ersten","mal","wieder",6
"1500","kann","man","gar","nicht",6
"1501","über","den","stand","der",6
"1502","vor","allem","dann","wenn",6
"1503","habe","ich","auch","noch",6
"1504","auf","die","frage","was",6
"1505","es","sich","dabei","um",6
"1506","kann","es","immer","noch",6
"1507","auf","die","zusammenarbeit","mit",6
"1508","da","kann","man","nicht",6
"1509","und","ich","habe","auch",6
"1510","gibt","es","noch","einen",6
"1511","wird","sich","in","den",6
"1512","wie","ein","roter","faden",6
"1513","auf","der","sicheren","seite",6
"1514","sich","die","frage","ob",6
"1515","vereinigten","staaten","von","amerika",6
"1516","bei","weitem","nicht","so",6
"1517","im","laufe","der","nächsten",6
"1518","unter","die","lupe","genommen",6
"1519","ist","es","so","dass",6
"1520","immer","mal","wieder","ein",6
"1521","zu","einem","großen","teil",6
"1522","so","etwas","wie","ein",6
"1523","mit","mir","zu","tun",6
"1524","nicht","mehr","als","eine",6
"1525","gegen","die","macht","der",6
"1526","und","tippen","sie","anschließend",6
"1527","tippen","sie","anschließend","auf",6
"1528","fast","die","hälfte","der",6
"1529","wie","zum","beispiel","in",6
"1530","man","die","ultraschall","carvitation",6
"1531","die","ultraschall","carvitation","und",6
"1532","ultraschall","carvitation","und","das",6
"1533","carvitation","und","das","ems",6
"1534","und","das","ems","training",6
"1535","das","ems","training","miteinander",6
"1536","ems","training","miteinander","wird",6
"1537","training","miteinander","wird","man",6
"1538","in","diesem","jahr","nicht",6
"1539","ich","vor","ein","paar",6
"1540","durch","die","stadt","und",6
"1541","nichts","mehr","zu","tun",6
"1542","in","eine","schüssel","geben",6
"1543","und","da","habe","ich",6
"1544","bei","der","vorstellung","der",6
"1545","für","mich","ist","das",6
"1546","gegen","den","willen","der",6
"1547","und","dann","habe","ich",6
"1548","sich","die","frage","wie",6
"1549","im","ersten","quartal","2011",6
"1550","es","sich","bei","den",6
"1551","von","zwei","bis","drei",6
"1552","in","diesem","jahr","in",6
"1553","in","den","1990er","jahren",6
"1554","die","beine","zu","stellen",6
"1555","mehr","als","ein","jahrzehnt",6
"1556","und","so","ist","es",6
"1557","in","der","debatte","über",6
"1558","der","anderen","seite","des",6
"1559","sich","vor","allem","auf",6
"1560","ein","blick","auf","die",6
"1561","bis","hin","zu","den",6
"1562","auf","den","zweiten","blick",6
"1563","in","den","augen","der",6
"1564","so","gut","wie","keine",6
"1565","von","haus","zu","haus",6
"1566","ist","und","in","der",6
"1567","ist","in","der","regel",6
"1568","das","nicht","der","fall",6
"1569","so","dass","sich","die",6
"1570","so","wie","es","sich",6
"1571","in","erster","linie","um",6
"1572","in","seiner","zeit","als",6
"1573","die","grundlage","für","die",6
"1574","es","sind","nicht","nur",6
"1575","wie","es","in","der",6
"1576","außenminister","guido","westerwelle","fdp",6
"1577","zur","verfügung","zu","stellen",6
"1578","schon","im","vergangenen","jahr",6
"1579","weniger","als","vor","einem",6
"1580","der","bank","of","america",6
"1581","den","vergangenen","drei","jahren",6
"1582","ist","in","den","vergangenen",6
"1583","in","höhe","von","rund",6
"1584","die","auszahlung","der","nächsten",6
"1585","des","fc","bayern","münchen",6
"1586","und","bundeskanzlerin","angela","merkel",6
"1587","ich","bin","sicher","dass",6
"1588","in","diesem","jahr","wieder",6
"1589","millionen","euro","pro","jahr",6
"1590","nach","einem","treffen","mit",6
"1591","die","kontrolle","über","die",6
"1592","die","erinnerung","an","die",6
"1593","in","diesem","jahr","um",6
"1594","ist","es","her","dass",6
"1595","bei","der","abstimmung","über",6
"1596","einem","gespräch","mit","der",6
"1597","der","bundesagentur","für","arbeit",6
"1598","1","fc","köln","und",6
"1599","zu","dem","ergebnis","dass",6
"1600","zu","dem","schluss","dass",6
"1601","millionen","euro","im","vorjahr",6
"1602","es","in","einer","erklärung",6
"1603","europa","und","den","usa",6
"1604","aber","nicht","der","fall",6
"1605","einem","interview","mit","der",6
"1606","unter","berufung","auf","die",6
"1607","den","platz","an","der",6
"1608","zum","1","januar","2013",6
"1609","darauf","hin","dass","der",6
"1610","die","frage","ob","die",6
"1611","die","erwartungen","der","analysten",6
"1612","unter","der","regie","von",6
"1613","einer","ganzen","reihe","von",6
"1614","gingen","davon","aus","dass",6
"1615","sich","nach","angaben","der",6
"1616","die","frage","ob","er",6
"1617","auch","die","zahl","der",6
"1618","von","eu","und","iwf",6
"1619","bei","der","wm","in",6
"1620","sieht","vor","dass","die",6
"1621","mehr","als","im","vorjahr",6
"1622","über","die","zukunft","des",6
"1623","im","vergangenen","jahr","in",6
"1624","den","sprung","in","die",6
"1625","und","internationalem","währungsfonds","iwf",6
"1626","0","0","gegen","die",6
"1627","im","gespräch","mit","der",6
"1628","und","dem","internationalen","währungsfonds",6
"1629","in","den","kommenden","drei",6
"1630","ist","dass","sich","die",6
"1631","vergleich","zum","vorjahr","um",6
"1632","unter","anderem","mit","der",6
"1633","es","nach","wie","vor",6
"1634","rede","und","antwort","stehen",6
"1635","sich","in","den","kommenden",6
"1636","bundesarbeitsministerin","ursula","von","der",6
"1637","sind","die","vereinigten","staaten",6
"1638","suche","nach","einem","neuen",6
"1639","seit","anfang","des","jahres",6
"1640","in","den","neunziger","jahren",6
"1641","es","gibt","keinen","grund",6
"1642","nicht","sein","dass","die",6
"1643","20","bis","30","prozent",6
"1644","ende","der","1990er","jahre",6
"1645","der","internationale","währungsfonds","iwf",6
"1646","das","ergebnis","vor","zinsen",6
"1647","ergebnis","vor","zinsen","und",6
"1648","wie","in","den","vergangenen",6
"1649","ministerpräsident","josé","luis","rodríguez",6
"1650","josé","luis","rodríguez","zapatero",6
"1651","sagte","der","präsident","des",6
"1652","aus","dem","vergangenen","jahr",6
"1653","in","einem","interview","der",6
"1654","im","kampf","um","den",6
"1655","nicht","nur","in","den",6
"1656","zinsen","und","steuern","ebit",6
"1657","nach","einem","bericht","des",6
"1658","in","bund","und","ländern",6
"1659","der","nacht","zum","mittwoch",6
"1660","um","20","15","uhr",5
"1661","da","freuen","wir","uns",5
"1662","tag","geht","zu","ende",5
"1663","gute","nacht","und","bis",5
"1664","noch","in","der","lage",5
"1665","anders","kann","ich","mir",5
"1666","bei","der","auswahl","der",5
"1667","kannte","ich","noch","gar",5
"1668","ich","mir","auch","schon",5
"1669","und","ich","frage","mich",5
"1670","aber","es","war","trotzdem",5
"1671","das","was","ich","mir",5
"1672","heute","zum","ersten","mal",5
"1673","mehr","als","nur","eine",5
"1674","freu","ich","mich","aber",5
"1675","in","den","vordergrund","zu",5
"1676","das","ist","nicht","gut",5
"1677","ich","freue","mich","darauf",5
"1678","noch","einen","schönen","abend",5
"1679","an","unsere","neuen","follower",5
"1680","ist","aber","nicht","so",5
"1681","alles","gut","bei","dir",5
"1682","glaube","ich","nicht","dass",5
"1683","es","das","erste","mal",5
"1684","endlich","wieder","zu","hause",5
"1685","so","früh","am","morgen",5
"1686","followern","ein","schönes","wochenende",5
"1687","nächste","woche","geht","es",5
"1688","hasse","es","wenn","ich",5
"1689","ehre","wem","ehre","gebührt",5
"1690","schön","und","gut","aber",5
"1691","das","war's","dann","wohl",5
"1692","vielen","dank","für","ihr",5
"1693","über","kurz","oder","lang",5
"1694","noch","einen","schönen","tag",5
"1695","mal","was","anderes","als",5
"1696","denkt","mal","drüber","nach",5
"1697","danke","für","den","tollen",5
"1698","es","ist","nie","zu",5
"1699","aber","man","kann","ja",5
"1700","doch","noch","gar","nicht",5
"1701","mal","wieder","so","richtig",5
"1702","mal","wieder","in","der",5
"1703","danke","für","die","unterstützung",5
"1704","nun","auch","wieder","nicht",5
"1705","ich","mag","nicht","mehr",5
"1706","das","hab","ich","mir",5
"1707","alles","klar","bei","dir",5
"1708","und","viele","grüße","aus",5
"1709","danke","für","s","folgen",5
"1710","jemand","einen","tipp","für",5
"1711","noch","nicht","was","ich",5
"1712","und","nicht","zu","vergessen",5
"1713","hab","ich","gar","nicht",5
"1714","nicht","ein","einziges","mal",5
"1715","on","the","way","to",5
"1716","war","noch","nie","in",5
"1717","es","ist","wieder","soweit",5
"1718","freut","sich","schon","auf",5
"1719","ich","dachte","du","wärst",5
"1720","fehlt","nur","noch","ein",5
"1721","auf","jeden","fall","die",5
"1722","zeit","in","der","wir",5
"1723","erinnert","mich","an","meine",5
"1724","ich","mir","auch","mal",5
"1725","kann","man","in","der",5
"1726","ist","ein","mann","der",5
"1727","an","die","frische","luft",5
"1728","das","habe","ich","auch",5
"1729","dann","auch","noch","die",5
"1730","nur","noch","3","tage",5
"1731","noch","3","tage","bis",5
"1732","ich","glaub","ich","mach",5
"1733","ich","das","noch","erleben",5
"1734","das","noch","erleben","darf",5
"1735","oh","mein","gott","ich",5
"1736","geht","es","bei","der",5
"1737","wenn","du","zeit","hast",5
"1738","und","dann","in","die",5
"1739","danke","für","die","einladung",5
"1740","die","angst","vor","dem",5
"1741","ich","denke","das","ist",5
"1742","den","rest","der","woche",5
"1743","das","ist","dann","wohl",5
"1744","ist","doch","nur","ein",5
"1745","danke","an","für","den",5
"1746","paul","ein","alien","auf",5
"1747","ein","alien","auf","der",5
"1748","alien","auf","der","flucht",5
"1749","ist","in","den","letzten",5
"1750","allen","einen","schönen","tag",5
"1751","ich","habe","noch","nicht",5
"1752","mich","schon","auf","das",5
"1753","schon","seit","einiger","zeit",5
"1754","muss","ich","auch","mal",5
"1755","ich","wünschte","ich","hätte",5
"1756","ich","mich","auch","mal",5
"1757","ist","nicht","nur","ein",5
"1758","in","ein","paar","tagen",5
"1759","aber","das","ist","nicht",5
"1760","bei","diana","in","gundelfingen",5
"1761","diana","in","gundelfingen","beim",5
"1762","in","gundelfingen","beim","rewe",5
"1763","gundelfingen","beim","rewe","kommt",5
"1764","beim","rewe","kommt","alle",5
"1765","rewe","kommt","alle","und",5
"1766","kommt","alle","und","bringt",5
"1767","alle","und","bringt","eure",5
"1768","nicht","auf","den","kopf",5
"1769","zum","glück","bin","ich",5
"1770","tut","mir","leid","dass",5
"1771","wenn","du","denkst","es",5
"1772","du","denkst","es","geht",5
"1773","denkst","es","geht","nicht",5
"1774","das","ist","immer","so",5
"1775","lieben","dank","für","die",5
"1776","noch","wenige","tage","bis",5
"1777","der","eintritt","ist","frei",5
"1778","kann","man","ja","auch",5
"1779","trotzdem","danke","für","den",5
"1780","war","das","mit","dem",5
"1781","was","ist","denn","bei",5
"1782","herzlich","willkommen","in","der",5
"1783","mit","gutem","beispiel","voran",5
"1784","es","sei","denn","es",5
"1785","was","ist","der","unterschied",5
"1786","bin","gespannt","was","du",5
"1787","ist","es","nur","ein",5
"1788","gleich","auf","den","weg",5
"1789","dann","ist","ja","alles",5
"1790","freu","mich","jetzt","schon",5
"1791","danke","an","alle","für",5
"1792","auf","dem","sofa","und",5
"1793","bin","ich","froh","das",5
"1794","ich","kann","mich","noch",5
"1795","allen","noch","einen","schönen",5
"1796","ist","der","erste","schritt",5
"1797","und","ich","bin","sehr",5
"1798","kann","doch","nicht","wahr",5
"1799","sind","es","nur","noch",5
"1800","ich","das","letzte","mal",5
"1801","kann","ich","ja","auch",5
"1802","wie","soll","ich","das",5
"1803","und","vor","allem","wie",5
"1804","dafür","sorgen","dass","es",5
"1805","es","sei","denn","die",5
"1806","die","stimmung","ist","gut",5
"1807","erste","mal","dass","ich",5
"1808","und","dann","war","da",5
"1809","so","muss","das","sein",5
"1810","ich","muss","mal","wieder",5
"1811","was","gibt","es","schöneres",5
"1812","ein","jahr","nach","dem",5
"1813","ist","bei","mir","auch",5
"1814","muss","ich","mir","mal",5
"1815","wusste","ich","nicht","dass",5
"1816","bei","interesse","bitte","melden",5
"1817","ist","doch","mal","was",5
"1818","was","lange","währt","wird",5
"1819","lange","währt","wird","endlich",5
"1820","währt","wird","endlich","gut",5
"1821","sind","wir","mit","dem",5
"1822","das","glaube","ich","nicht",5
"1823","kann","man","das","nicht",5
"1824","heute","um","18","uhr",5
"1825","eine","zeit","in","der",5
"1826","was","hast","du","vor",5
"1827","danke","für","das","angebot",5
"1828","und","jetzt","bin","ich",5
"1829","jetzt","bin","ich","in",5
"1830","schönste","stadt","der","welt",5
"1831","wenn","ich","mal","wieder",5
"1832","bin","mir","nicht","sicher",5
"1833","aber","ich","glaube","nicht",5
"1834","danke","an","für","die",5
"1835","nach","hause","zu","kommen",5
"1836","ist","die","welt","noch",5
"1837","schon","mal","was","von",5
"1838","bei","mir","auch","nicht",5
"1839","an","der","frischen","luft",5
"1840","wenn","du","das","sagst",5
"1841","würde","mich","sehr","freuen",5
"1842","lässt","sich","das","nicht",5
"1843","dir","einen","schönen","tag",5
"1844","so","dann","wollen","wir",5
"1845","es","sei","denn","du",5
"1846","ich","der","einzige","der",5
"1847","da","hat","man","schon",5
"1848","wie","wichtig","es","ist",5
"1849","wo","ist","denn","der",5
"1850","was","hat","das","mit",5
"1851","dem","weg","von","der",5
"1852","nicht","dass","sich","die",5
"1853","in","deutschland","österreich","und",5
"1854","aber","es","ist","halt",5
"1855","mit","dem","auto","nach",5
"1856","das","was","es","mal",5
"1857","ich","hätte","nicht","gedacht",5
"1858","schönes","wochenende","an","alle",5
"1859","ich","frage","mich","ob",5
"1860","nicht","alle","ein","bisschen",5
"1861","dass","ich","gar","nicht",5
"1862","augen","zu","und","durch",5
"1863","ich","bin","so","müde",5
"1864","weil","es","so","schön",5
"1865","wir","arbeiten","mit","hochdruck",5
"1866","mir","mal","jemand","erklären",5
"1867","ich","hoffe","es","wird",5
"1868","geht","ja","gar","nicht",5
"1869","sieht","aus","wie","eine",5
"1870","auf","in","den","kampf",5
"1871","beim","eurovision","song","contest",5
"1872","bin","ich","jetzt","schon",5
"1873","kenn","ich","nur","zu",5
"1874","ich","nur","zu","gut",5
"1875","jetzt","weiß","ich","warum",5
"1876","bin","kein","freund","von",5
"1877","so","ich","bin","dann",5
"1878","immer","eine","reise","wert",5
"1879","auf","jeden","fall","ist",5
"1880","das","nenn","ich","mal",5
"1881","das","ist","ja","schon",5
"1882","ist","es","dann","doch",5
"1883","in","die","hand","gedrückt",5
"1884","einen","blick","in","die",5
"1885","ist","ja","sowas","von",5
"1886","wie","komme","ich","an",5
"1887","dank","für","den","#ff",5
"1888","kann","so","nicht","arbeiten",5
"1889","für","den","guten","zweck",5
"1890","ich","mich","mit","dem",5
"1891","los","geht","es","mit",5
"1892","weiß","ich","nicht","mehr",5
"1893","jetzt","ist","es","offiziell",5
"1894","geht","es","wieder","los",5
"1895","nur","mal","so","nebenbei",5
"1896","gibt","es","in","deutschland",5
"1897","dank","für","die","erwähnung",5
"1898","in","verbindung","mit","dem",5
"1899","bin","gespannt","wie","das",5
"1900","noch","auf","sich","warten",5
"1901","ist","es","endlich","so",5
"1902","viel","glück","und","erfolg",5
"1903","heute","abend","in","der",5
"1904","ist","auch","noch","nicht",5
"1905","der","umgang","mit","dem",5
"1906","ihr","dürft","gespannt","sein",5
"1907","auf","dem","weg","vom",5
"1908","bin","ich","ja","nicht",5
"1909","da","hast","du","allerdings",5
"1910","hast","du","allerdings","recht",5
"1911","na","dann","bin","ich",5
"1912","auf","der","flucht","vor",5
"1913","wird","das","nix","mit",5
"1914","wird","ihnen","präsentiert","von",5
"1915","also","auf","jeden","fall",5
"1916","ohne","wenn","und","aber",5
"1917","ich","mich","noch","nicht",5
"1918","ein","schönes","wochenende","an",5
"1919","um","zu","sehen","ob",5
"1920","ist","das","mit","dem",5
"1921","einen","strich","durch","die",5
"1922","strich","durch","die","rechnung",5
"1923","den","ganzen","tag","mit",5
"1924","ist","ja","auch","so",5
"1925","ist","aber","auch","ein",5
"1926","gar","nicht","in","der",5
"1927","aber","ich","bin","auch",5
"1928","ich","das","gefühl","dass",5
"1929","gibt","es","eigentlich","einen",5
"1930","muss","man","erst","mal",5
"1931","dann","fiel","mir","ein",5
"1932","es","gibt","doch","nichts",5
"1933","noch","nicht","ganz","sicher",5
"1934","etwas","in","der","art",5
"1935","danke","für","rt","und",5
"1936","bin","ich","noch","nicht",5
"1937","heute","abend","bin","ich",5
"1938","ein","tag","an","dem",5
"1939","was","sein","muss","muss",5
"1940","sein","muss","muss","sein",5
"1941","da","bin","ich","schon",5
"1942","schon","gar","nicht","in",5
"1943","so","gehört","sich","das",5
"1944","es","kann","doch","nicht",5
"1945","nichts","mehr","im","wege",5
"1946","ich","aber","mal","gespannt",5
"1947","memo","an","mich","selbst",5
"1948","ist","das","nicht","die",5
"1949","auf","die","straße","und",5
"1950","du","zeit","und","lust",5
"1951","nach","mainz","wiesbaden","frankfurt",5
"1952","eine","chance","zu","geben",5
"1953","ich","bin","schon","jetzt",5
"1954","das","gelbe","vom","ei",5
"1955","ich","wünsch","dir","einen",5
"1956","kann","ich","nur","sagen",5
"1957","dann","hab","ich","ja",5
"1958","alarm","für","cobra","11",5
"1959","ich","geh","zur","ruh",5
"1960","gar","nichts","zu","tun",5
"1961","auch","ein","schönes","we",5
"1962","hier","in","der","nähe",5
"1963","schauen","wir","mal","was",5
"1964","in","die","2","liga",5
"1965","auf","keinen","fall","mehr",5
"1966","freut","sich","über","die",5
"1967","den","ganzen","tag","im",5
"1968","freuen","sie","sich","auf",5
"1969","am","überlegen","ob","ich",5
"1970","danke","für","die","vielen",5
"1971","wir","wünschen","allen","followern",5
"1972","nicht","mehr","zu","retten",5
"1973","ich","aber","auch","nicht",5
"1974","wird","in","den","nächsten",5
"1975","wenn","man","nicht","mehr",5
"1976","am","liebsten","würde","ich",5
"1977","es","ist","nicht","das",5
"1978","ich","bin","gespannt","auf",5
"1979","mal","sehen","was","der",5
"1980","ein","schönes","wochenende","und",5
