"","W1","W2","Count"
"35149","argument","für",8
"35150","beitrag","der",8
"35151","kurz","um",8
"35152","allem","und",8
"35153","ein","plan",8
"35154","seiner","geschichte",8
"35155","erlebt","hat",8
"35156","in","rechnung",8
"35157","dem","frühstück",8
"35158","es","menschen",8
"35159","4","das",8
"35160","welt","aus",8
"35161","davor","gewarnt",8
"35162","daran","gewöhnt",8
"35163","2011","sind",8
"35164","knie","und",8
"35165","es","muß",8
"35166","stunden","für",8
"35167","zu","gegebener",8
"35168","gegebener","zeit",8
"35169","freude","ist",8
"35170","vertreten","sein",8
"35171","schreiben","oder",8
"35172","steht","alles",8
"35173","nicht","kaufen",8
"35174","kontrast","zu",8
"35175","nicht","überzeugen",8
"35176","wird","sondern",8
"35177","alt","wird",8
"35178","unternehmen","auch",8
"35179","weit","genug",8
"35180","im","stil",8
"35181","vor","bei",8
"35182","buch","für",8
"35183","wir","meinen",8
"35184","bunt","und",8
"35185","da","gehts",8
"35186","einem","atemzug",8
"35187","längst","im",8
"35188","und","stark",8
"35189","von","amerikanischen",8
"35190","für","neues",8
"35191","montag","der",8
"35192","cem","özdemir",8
"35193","die","sagen",8
"35194","warnen","vor",8
"35195","berlin","war",8
"35196","sonntag","wird",8
"35197","sonst","zu",8
"35198","da","mir",8
"35199","davon","kann",8
"35200","will","heute",8
"35201","den","beruf",8
"35202","ist","klein",8
"35203","einer","davon",8
"35204","schülern","der",8
"35205","als","erwachsene",8
"35206","der","msv",8
"35207","wert","darauf",8
"35208","jahr","keine",8
"35209","geliebt","und",8
"35210","sie","andere",8
"35211","endlich","an",8
"35212","sohn","hat",8
"35213","richtige","zeitpunkt",8
"35214","produkte","sind",8
"35215","betreiber","von",8
"35216","foto","mit",8
"35217","tisch","zu",8
"35218","und","manche",8
"35219","diese","serie",8
"35220","dafür","wie",8
"35221","als","vielmehr",8
"35222","die","17",8
"35223","nicht","aktiv",8
"35224","laden","die",8
"35225","schaffen","sie",8
"35226","überlegung","wert",8
"35227","eine","auf",8
"35228","es","getan",8
"35229","nicht","traurig",8
"35230","aus","nrw",8
"35231","montag","das",8
"35232","25","grad",8
"35233","wobei","der",8
"35234","in","süddeutschland",8
"35235","das","sicherlich",8
"35236","den","haufen",8
"35237","nachgewiesen","werden",8
"35238","früher","an",8
"35239","können","über",8
"35240","erst","danach",8
"35241","erstellt","werden",8
"35242","ist","samstag",8
"35243","programm","zum",8
"35244","samstag","der",8
"35245","berlin","an",8
"35246","sich","unsere",8
"35247","tweets","die",8
"35248","sie","erhalten",8
"35249","fassen","und",8
"35250","lieber","im",8
"35251","smartphones","und",8
"35252","dringend","einen",8
"35253","denn","überhaupt",8
"35254","nicht","schreiben",8
"35255","neuen","ideen",8
"35256","im","glas",8
"35257","ständig","die",8
"35258","ruft","mich",8
"35259","habe","habe",8
"35260","fragte","ob",8
"35261","diese","szene",8
"35262","ich","träume",8
"35263","und","voller",8
"35264","täglich","von",8
"35265","sinnvoll","ist",8
"35266","nehmen","müssen",8
"35267","braucht","keine",8
"35268","im","new",8
"35269","schicken","und",8
"35270","eine","dokumentation",8
"35271","hier","könnte",8
"35272","wut","auf",8
"35273","ausgezahlt","werden",8
"35274","die","bild-zeitung",8
"35275","sie","bisher",8
"35276","mag","der",8
"35277","eine","senkung",8
"35278","der","beiträge",8
"35279","er","sehe",8
"35280","jetzt","durch",8
"35281","eine","sinnvolle",8
"35282","zu","packen",8
"35283","das","tat",8
"35284","eine","rede",8
"35285","diskutiert","die",8
"35286","auch","denn",8
"35287","wirkt","sich",8
"35288","material","zu",8
"35289","tagen","des",8
"35290","gegen","borussia",8
"35291","davon","nicht",8
"35292","gewesen","in",8
"35293","entpuppte","sich",8
"35294","eines","zu",8
"35295","gefragt","und",8
"35296","deutschland","am",8
"35297","blick","haben",8
"35298","wer","einmal",8
"35299","zimmer","in",8
"35300","so","spannend",8
"35301","neue","spieler",8
"35302","deutschland","von",8
"35303","von","politikern",8
"35304","love","with",8
"35305","zu","verlangen",8
"35306","60","millionen",8
"35307","wobei","sich",8
"35308","sich","gerne",8
"35309","dass","dabei",8
"35310","zahlen","zu",8
"35311","als","solches",8
"35312","das","weiter",8
"35313","rede","vor",8
"35314","geht","für",8
"35315","die","olympischen",8
"35316","haben","kein",8
"35317","zwei","arten",8
"35318","die","ewige",8
"35319","erstmals","im",8
"35320","lassen","auf",8
"35321","nicht","positiv",8
"35322","schönes","bild",8
"35323","wichtige","themen",8
"35324","nur","irgendwie",8
"35325","der","reinen",8
"35326","der","hauptstraße",8
"35327","gern","und",8
"35328","anderes","zu",8
"35329","noch","darüber",8
"35330","erste","halbjahr",8
"35331","anwendung","von",8
"35332","können","dabei",8
"35333","von","1997",8
"35334","fernseher","und",8
"35335","darauf","verzichten",8
"35336","oft","im",8
"35337","vermutlich","die",8
"35338","zeigen","sie",8
"35339","rechte","szene",8
"35340","ich","gedacht",8
"35341","dafür","werden",8
"35342","wird","stehen",8
"35343","der","beschreibung",8
"35344","auf","einigen",8
"35345","für","unterwegs",8
"35346","ort","sein",8
"35347","gerade","richtig",8
"35348","diese","erkenntnis",8
"35349","da","haste",8
"35350","aber","darum",8
"35351","problem","werden",8
"35352","auch","darüber",8
"35353","was","ne",8
"35354","gesehen","da",8
"35355","sich","einem",8
"35356","anschließend","die",8
"35357","konzerte","in",8
"35358","system","zu",8
"35359","weiss","dass",8
"35360","hatte","erst",8
"35361","stimmt","der",8
"35362","nicht","freiwillig",8
"35363","mich","bis",8
"35364","planet","der",8
"35365","der","affen",8
"35366","jahrhundert","die",8
"35367","der","garten",8
"35368","der","rückrunde",8
"35369","ein","erdbeben",8
"35370","völlig","normal",8
"35371","montag","den",8
"35372","2","bundesliga",8
"35373","neue","kunden",8
"35374","auch","später",8
"35375","mit","gemüse",8
"35376","programm","die",8
"35377","fall","schon",8
"35378","erreichen","kann",8
"35379","doch","man",8
"35380","auf","europa",8
"35381","führung","für",8
"35382","bei","s",8
"35383","haus","mit",8
"35384","gegner","die",8
"35385","soll","heißen",8
"35386","arbeit","geleistet",8
"35387","meine","kollegin",8
"35388","ich","dran",8
"35389","er","denkt",8
"35390","griechenland","ist",8
"35391","2","bis",8
"35392","unsere","eltern",8
"35393","wie","genau",8
"35394","aus","leipzig",8
"35395","zu","meckern",8
"35396","hey","was",8
"35397","des","vorsitzenden",8
"35398","dieses","kleine",8
"35399","seine","grenzen",8
"35400","wirklich","keine",8
"35401","bundestag","die",8
"35402","sorry","war",8
"35403","widerstand","in",8
"35404","einer","noch",8
"35405","getan","haben",8
"35406","sie","trägt",8
"35407","alle","spiele",8
"35408","20","meter",8
"35409","ich","dank",8
"35410","andere","meinung",8
"35411","fliegen","die",8
"35412","wochen","ein",8
"35413","monat","im",8
"35414","deshalb","werde",8
"35415","liste","von",8
"35416","opposition","zu",8
"35417","geld","noch",8
"35418","ziemlich","schnell",8
"35419","beim","parteitag",8
"35420","mann","muss",8
"35421","endlich","sind",8
"35422","last","der",8
"35423","nach","schweden",8
"35424","der","sporthalle",8
"35425","direkt","über",8
"35426","gleich","drei",8
"35427","wechsel","zu",8
"35428","unter","dach",8
"35429","und","fach",8
"35430","momentan","ist",8
"35431","der","größeren",8
"35432","mit","es",8
"35433","mit","27",8
"35434","die","session",8
"35435","in","haus",8
"35436","name","der",8
"35437","ursachen","der",8
"35438","neuen","und",8
"35439","mir","fiel",8
"35440","6","0",8
"35441","0","im",8
"35442","jedoch","ist",8
"35443","würde","noch",8
"35444","das","wunder",8
"35445","den","knopf",8
"35446","bestehen","der",8
"35447","james","bond",8
"35448","monat","nach",8
"35449","und","willkommen",8
"35450","wer","nur",8
"35451","erzählen","die",8
"35452","nach","22",8
"35453","mein","fehler",8
"35454","besser","wir",8
"35455","und","australien",8
"35456","gehörte","auch",8
"35457","er","trägt",8
"35458","rund","250",8
"35459","die","vermutung",8
"35460","aufgabe","in",8
"35461","geschäfte","in",8
"35462","wir","besser",8
"35463","und","mittwoch",8
"35464","weniger","gut",8
"35465","einer","tasse",8
"35466","ein","geheimnis",8
"35467","vorbei","zu",8
"35468","die","falle",8
"35469","gäste","sind",8
"35470","die","touristen",8
"35471","tätig","und",8
"35472","gibts","doch",8
"35473","denn","machen",8
"35474","lösung","in",8
"35475","gestellt","wurde",8
"35476","wir","beobachten",8
"35477","schick","ich",8
"35478","davon","ein",8
"35479","kennengelernt","hat",8
"35480","familie","mit",8
"35481","sind","nie",8
"35482","als","2000",8
"35483","wir","viele",8
"35484","wobei","mir",8
"35485","zur","zweiten",8
"35486","der","neben",8
"35487","abschluss","eines",8
"35488","sie","forderten",8
"35489","zimmer","ist",8
"35490","neue","möglichkeiten",8
"35491","stärke","und",8
"35492","ganze","dann",8
"35493","einer","den",8
"35494","gemacht","jetzt",8
"35495","sie","gesagt",8
"35496","in","diversen",8
"35497","die","etablierten",8
"35498","gut","sind",8
"35499","was","dir",8
"35500","sind","dazu",8
"35501","diesen","tollen",8
"35502","homepage","der",8
"35503","sparen","und",8
"35504","vielleicht","der",8
"35505","jemand","an",8
"35506","verstehe","die",8
"35507","inzwischen","in",8
"35508","ansprüche","an",8
"35509","von","stefan",8
"35510","niemand","weiß",8
"35511","zum","abend",8
"35512","occupy","wall",8
"35513","volksabstimmung","über",8
"35514","schließlich","noch",8
"35515","stadt","auf",8
"35516","evtl","auch",8
"35517","nicht","lösen",8
"35518","muss","dass",8
"35519","zur","bildung",8
"35520","er","meint",8
"35521","der","religiösen",8
"35522","partei","das",8
"35523","im","rückblick",8
"35524","dafür","den",8
"35525","ein","eher",8
"35526","mehr","sicherheit",8
"35527","wer","schon",8
"35528","mal","habe",8
"35529","experten","aus",8
"35530","belgien","und",8
"35531","machen","auf",8
"35532","dass","bis",8
"35533","produziert","und",8
"35534","der","besetzung",8
"35535","meinen","kindern",8
"35536","bekommen","was",8
"35537","große","mehrheit",8
"35538","die","weltweite",8
"35539","ein","typischer",8
"35540","als","geschenk",8
"35541","das","kölner",8
"35542","tage","waren",8
"35543","die","mediziner",8
"35544","da","passt",8
"35545","gebäude","und",8
"35546","reste","der",8
"35547","zwar","wieder",8
"35548","im","freundeskreis",8
"35549","etwas","schwer",8
"35550","vortrag","der",8
"35551","tagen","wie",8
"35552","sind","erst",8
"35553","überzeugt","und",8
"35554","zu","begeistern",8
"35555","könne","sie",8
"35556","fragen","aber",8
"35557","einen","2",8
"35558","eine","erweiterung",8
"35559","deutsche","sprache",8
"35560","grund","nicht",8
"35561","fast","mit",8
"35562","ende","war",8
"35563","zu","betonen",8
"35564","betreibt","und",8
"35565","auf","vordermann",8
"35566","natürlich","auf",8
"35567","bekannten","und",8
"35568","sie","gemeinsam",8
"35569","leben","wird",8
"35570","diese","fragen",8
"35571","für","nächste",8
"35572","genau","deshalb",8
"35573","internet","aber",8
"35574","der","kleinste",8
"35575","jedem","der",8
"35576","bürger","nicht",8
"35577","arabischen","ländern",8
"35578","und","ca",8
"35579","leid","und",8
"35580","zu","knapp",8
"35581","armen","und",8
"35582","menschen","sterben",8
"35583","ganz","abgesehen",8
"35584","macht","uns",8
"35585","wenig","schlaf",8
"35586","aber","fair",8
"35587","am","netz",8
"35588","werde","euch",8
"35589","schuhe","sind",8
"35590","teilweise","auch",8
"35591","spd","ist",8
"35592","zwar","zu",8
"35593","nürnberg","und",8
"35594","getan","um",8
"35595","hörte","sich",8
"35596","das","gab",8
"35597","gelacht","und",8
"35598","einer","ecke",8
"35599","punkte","zu",8
"35600","und","versuchte",8
"35601","der","austausch",8
"35602","teils","mit",8
"35603","in","finnland",8
"35604","alle","richtungen",8
"35605","dominique","strauss-kahn",8
"35606","2","personen",8
"35607","möglichkeiten","zur",8
"35608","möglich","mit",8
"35609","umgebung","des",8
"35610","die","historische",8
"35611","zu","urteilen",8
"35612","zufolge","ist",8
"35613","wissen","welche",8
"35614","denn","beim",8
"35615","gegangen","war",8
"35616","ziel","nicht",8
"35617","manches","mal",8
"35618","beim","aufräumen",8
"35619","aufgewacht","und",8
"35620","zu","süß",8
"35621","14.00","uhr",8
"35622","verbindung","zur",8
"35623","den","toren",8
"35624","durfte","die",8
"35625","sehr","beliebt",8
"35626","entstanden","die",8
"35627","fanden","in",8
"35628","sie","möchte",8
"35629","im","vorletzten",8
"35630","der","note",8
"35631","angehörigen","der",8
"35632","eine","sekunde",8
"35633","auf","sylt",8
"35634","neues","bild",8
"35635","spricht","sie",8
"35636","erlebt","dass",8
"35637","zu","stopfen",8
"35638","julian","assange",8
"35639","hause","die",8
"35640","nicht","höher",8
"35641","signal","an",8
"35642","liegt","nun",8
"35643","aber","gern",8
"35644","als","einziges",8
"35645","eigene","meinung",8
"35646","situation","nicht",8
"35647","des","münchner",8
"35648","ohne","ergebnis",8
"35649","gefahr","einer",8
"35650","mittelpunkt","stehen",8
"35651","die","hamas",8
"35652","kleine","kinder",8
"35653","meinem","bauch",8
"35654","wahrscheinlich","noch",8
"35655","beim","besten",8
"35656","tasche","und",8
"35657","lust","drauf",8
"35658","dir","nichts",8
"35659","über","politik",8
"35660","von","produkten",8
"35661","zu","begründen",8
"35662","nur","einfach",8
"35663","den","vergleich",8
"35664","der","wiener",8
"35665","streng","genommen",8
"35666","letzten","runde",8
"35667","sein","könne",8
"35668","einem","angriff",8
"35669","anderes","thema",8
"35670","karl","lagerfeld",8
"35671","erste","mannschaft",8
"35672","diese","produkte",8
"35673","den","anschein",8
"35674","hatte","angst",8
"35675","deshalb","sollten",8
"35676","nur","seine",8
"35677","sie","beginnt",8
"35678","der","lokalen",8
"35679","letzter","sekunde",8
"35680","gern","auch",8
"35681","als","sicherer",8
"35682","es","künftig",8
"35683","das","spricht",8
"35684","teilte","am",8
"35685","der","60",8
"35686","so","manch",8
"35687","aufgaben","der",8
"35688","männer","wie",8
"35689","und","manager",8
"35690","alle","daten",8
"35691","beitrag","für",8
"35692","auch","innerhalb",8
"35693","reich","und",8
"35694","mal","werde",8
"35695","hieß","die",8
"35696","des","verteidigungsministers",8
"35697","etwas","die",8
"35698","wir","ihr",8
"35699","schlagen","sie",8
"35700","zeit","lassen",8
"35701","so","hätten",8
"35702","das","radio",8
"35703","wechseln","sich",8
"35704","nachrichten","von",8
"35705","verwandelt","sich",8
"35706","engagement","für",8
"35707","unsere","gesellschaft",8
"35708","können","sondern",8
"35709","enthielt","sich",8
"35710","den","streit",8
"35711","den","teller",8
"35712","was","halten",8
"35713","wäre","man",8
"35714","coole","idee",8
"35715","eine","karriere",8
"35716","frau","an",8
"35717","ihrer","seite",8
"35718","gesprochen","die",8
"35719","ausgepackt","und",8
"35720","75","prozent",8
"35721","jahr","aber",8
"35722","sich","manche",8
"35723","richtig","lust",8
"35724","entscheidung","die",8
"35725","sind","zur",8
"35726","mit","höheren",8
"35727","besitzt","und",8
"35728","70","jahre",8
"35729","händen","von",8
"35730","alle","mitarbeiter",8
"35731","und","neuer",8
"35732","stellen","eine",8
"35733","die","fraktionen",8
"35734","35","jahre",8
"35735","auch","darum",8
"35736","manchmal","kann",8
"35737","fans","der",8
"35738","streit","mit",8
"35739","halten","den",8
"35740","den","gerade",8
"35741","mein","job",8
"35742","und","recht",8
"35743","h","r",8
"35744","sofort","eine",8
"35745","eine","weise",8
"35746","aufgaben","in",8
"35747","ja","genug",8
"35748","amt","als",8
"35749","thema","die",8
"35750","trade","center",8
"35751","der","gang",8
"35752","eine","gesunde",8
"35753","der","verbrauch",8
"35754","öffentlichen","haushalte",8
"35755","kommenden","saison",8
"35756","für","essen",8
"35757","in","sozialen",8
"35758","rösler","hat",8
"35759","eins","ist",8
"35760","2","millionen",8
"35761","zweiten","weltkriegs",8
"35762","und","schnee",8
"35763","doch","seine",8
"35764","griechenland","zu",8
"35765","wundert","es",8
"35766","möglich","da",8
"35767","auch","2011",8
"35768","staatsanleihen","zu",8
"35769","vorbei","sein",8
"35770","der","wirt",8
"35771","kommen","im",8
"35772","der","polizist",8
"35773","stehen","als",8
"35774","bringen","aber",8
"35775","zusätzlich","noch",8
"35776","zu","erleichtern",8
"35777","als","mensch",8
"35778","der","einfluss",8
"35779","doch","ihr",8
"35780","die","zellen",8
"35781","einmal","am",8
"35782","als","70",8
"35783","haben","sehr",8
"35784","mein","spiel",8
"35785","die","türe",8
"35786","sein","sondern",8
"35787","zum","18",8
"35788","stehen","dann",8
"35789","nicht","spurlos",8
"35790","vom","großen",8
"35791","doch","trotz",8
"35792","darauf","eine",8
"35793","wenig","nach",8
"35794","und","wirkung",8
"35795","handeln","der",8
"35796","mir","damit",8
"35797","die","ingenieure",8
"35798","führung","von",8
"35799","den","nagel",8
"35800","wird","wegen",8
"35801","kauf","der",8
"35802","für","familien",8
"35803","eltern","zu",8
"35804","der","legislaturperiode",8
"35805","mehr","finden",8
"35806","tor","des",8
"35807","und","bildung",8
"35808","vielmehr","ist",8
"35809","zeigt","einen",8
"35810","wettbewerb","um",8
"35811","sollen","von",8
"35812","beteiligt","waren",8
"35813","weniger","wochen",8
"35814","die","abteilung",8
"35815","der","mittlerweile",8
"35816","und","tor",8
"35817","antwort","die",8
"35818","er","was",8
"35819","denen","eine",8
"35820","wochen","habe",8
"35821","wirklich","schön",8
"35822","in","jungen",8
"35823","in","vietnam",8
"35824","besitzer","des",8
"35825","schließung","der",8
"35826","hebt","die",8
"35827","dem","6",8
"35828","einem","auto",8
"35829","von","anonymous",8
"35830","mich","hatte",8
"35831","hand","geben",8
"35832","diese","information",8
"35833","diese","im",8
"35834","die","manager",8
"35835","formen","von",8
"35836","deutschland","vor",8
"35837","der","damen",8
"35838","vorbereitet","werden",8
"35839","der","vereinigung",8
"35840","kindle","fire",8
"35841","des","südens",8
"35842","das","zauberwort",8
"35843","zum","meer",8
"35844","umgeben","von",8
"35845","im","pokal",8
"35846","also","mehr",8
"35847","kommenden","freitag",8
"35848","sich","sie",8
"35849","der","fabrik",8
"35850","wann","er",8
"35851","wieder","kommt",8
"35852","das","sehen",8
"35853","angegriffen","und",8
"35854","haha","wie",8
"35855","nämlich","in",8
"35856","70.000","euro",8
"35857","von","rechts",8
"35858","gab","einen",8
"35859","den","gewerkschaften",8
"35860","samstag","beim",8
"35861","münchen","die",8
"35862","prozess","zu",8
"35863","dort","im",8
"35864","die","baustelle",8
"35865","auch","deswegen",8
"35866","liegen","noch",8
"35867","möglichkeiten","für",8
"35868","der","fußball",8
"35869","eine","stabile",8
"35870","nahe","dem",8
"35871","mindestens","einmal",8
"35872","blieb","das",8
"35873","bleibt","dabei",8
"35874","menschen","durch",8
"35875","besteht","darin",8
"35876","die","hinter",8
"35877","zählen","der",8
"35878","nachts","und",8
"35879","blick","ins",8
"35880","eine","ebenso",8
"35881","und","jung",8
"35882","wirklich","einen",8
"35883","eine","relativ",8
"35884","kölner","dom",8
"35885","sie","zwei",8
"35886","wasser","auf",8
"35887","kinder","ab",8
"35888","entfernt","ist",8
"35889","hätte","mit",8
"35890","augen","des",8
"35891","februar","2012",8
"35892","werden","zwar",8
"35893","die","goldene",8
"35894","raum","ist",8
"35895","vorgesehen","ist",8
"35896","ganze","menge",8
"35897","ist","großartig",8
"35898","dort","von",8
"35899","franz","beckenbauer",8
"35900","eine","schwarze",8
"35901","generalsekretär","christian",8
"35902","verständnis","von",8
"35903","scharfe","kritik",8
"35904","seht","selbst",8
"35905","den","19",8
"35906","unmittelbarer","nähe",8
"35907","des","fußballs",8
"35908","wenige","meter",8
"35909","der","käufer",8
"35910","entscheiden","sich",8
"35911","den","turm",8
"35912","präsidentin","der",8
"35913","einmal","ganz",8
"35914","wie","dort",8
"35915","minuten","der",8
"35916","wurden","zwei",8
"35917","ein","hauch",8
"35918","zahlen","muss",8
"35919","von","2004",8
"35920","chance","das",8
"35921","wir","gut",8
"35922","und","mama",8
"35923","der","gerichte",8
"35924","loch","zu",8
"35925","kennt","den",8
"35926","so","gegen",8
"35927","antwort","der",8
"35928","weiterentwicklung","der",8
"35929","sei","viel",8
"35930","wurde","dem",8
"35931","die","ewigkeit",8
"35932","investiert","werden",8
"35933","worden","eine",8
"35934","möglichst","wenig",8
"35935","2013","in",8
"35936","aufhebung","der",8
"35937","ein","da",8
"35938","dabei","vor",8
"35939","in","dieselbe",8
"35940","ist","liegt",8
"35941","sie","schön",8
"35942","niemand","darf",8
"35943","der","schlechten",8
"35944","erhebt","sich",8
"35945","ein","hinweis",8
"35946","als","doppelt",8
"35947","ein","antrag",8
"35948","ein","viel",8
"35949","die","konsistenz",8
"35950","eben","am",8
"35951","den","anbau",8
"35952","solche","fragen",8
"35953","die","sauna",8
"35954","mund","und",8
"35955","verstehen","was",8
"35956","zu","meistern",8
"35957","ist","deren",8
"35958","schwierig","das",8
"35959","erklären","und",8
"35960","partner","und",8
"35961","40","grad",8
"35962","einer","auf",8
"35963","und","oben",8
"35964","von","lehrern",8
"35965","eine","globale",8
"35966","bestätigt","der",8
"35967","die","finanziellen",8
"35968","je","die",8
"35969","schlägt","das",8
"35970","zahlen","zum",8
"35971","dadurch","wird",8
"35972","die","steuerzahler",8
"35973","angewiesen","ist",8
"35974","herausgeber","des",8
"35975","produziert","die",8
"35976","der","erfahrung",8
"35977","oft","das",8
"35978","jahr","werde",8
"35979","derzeit","im",8
"35980","und","gesagt",8
"35981","habt","alle",8
"35982","freien","willen",8
"35983","klar","in",8
"35984","buch","die",8
"35985","geboren","ist",8
"35986","17","september",8
"35987","steht","sie",8
"35988","viele","deutsche",8
"35989","konnte","im",8
"35990","die","autofahrer",8
"35991","müsse","und",8
"35992","eine","tüte",8
"35993","am","rathaus",8
"35994","es","toll",8
"35995","antwort","des",8
"35996","das","hoch",8
"35997","einem","kollegen",8
"35998","hilfe","zu",8
"35999","und","beste",8
"36000","distanz","zu",8
"36001","beigetragen","haben",8
"36002","verteilen","und",8
"36003","s","auf",8
"36004","sieben","tagen",8
"36005","und","reich",8
"36006","anlass","zur",8
"36007","diesem","winter",8
"36008","aber","ebenfalls",8
"36009","sie","damals",8
"36010","plötzlich","nicht",8
"36011","uns","dabei",8
"36012","hause","in",8
"36013","das","smartphone",8
"36014","eine","technische",8
"36015","mit","sie",8
"36016","erleben","und",8
"36017","verwendet","wurde",8
"36018","einer","seiner",8
"36019","kinder","unter",8
"36020","besser","kennen",8
"36021","im","stehen",8
"36022","samstag","ein",8
"36023","der","lehman-pleite",8
"36024","und","linken",8
"36025","ein","feuerwerk",8
"36026","seit","langer",8
"36027","den","fachkräftemangel",8
"36028","die","angebote",8
"36029","massiv","in",8
"36030","dem","vom",8
"36031","muss","jeder",8
"36032","der","bildfläche",8
"36033","wie","kein",8
"36034","einzig","und",8
"36035","großen","schritt",8
"36036","aktiv","zu",8
"36037","menschen","über",8
"36038","etwas","passiert",8
"36039","mit","frauen",8
"36040","sie","wären",8
"36041","genau","genommen",8
"36042","fdp","der",8
"36043","saison","der",8
"36044","ins","zeug",8
"36045","juden","in",8
"36046","worden","wir",8
"36047","im","aachener",8
"36048","ein","kreuz",8
"36049","im","abschluss",8
"36050","einer","party",8
"36051","diese","aber",8
"36052","die","euphorie",8
"36053","gefragt","warum",8
"36054","lassen","wollen",8
"36055","auch","wichtig",8
"36056","die","iren",8
"36057","den","vertretern",8
"36058","schreibt","in",8
"36059","bildung","des",8
"36060","anteil","am",8
"36061","nach","israel",8
"36062","abschaltung","der",8
"36063","lässt","der",8
"36064","es","stand",8
"36065","man","dürfe",8
"36066","oft","sind",8
"36067","am","fuß",8
"36068","personen","aus",8
"36069","der","sicheren",8
"36070","von","john",8
"36071","an","an",8
"36072","staat","nicht",8
"36073","darauf","verständigt",8
"36074","eine","realistische",8
"36075","sie","besonders",8
"36076","anderem","durch",8
"36077","wenden","sie",8
"36078","aktion","der",8
"36079","den","norden",8
"36080","viel","näher",8
"36081","bedürfnisse","der",8
"36082","die","bremer",8
"36083","auf","kritik",8
"36084","zusehen","wie",8
"36085","sind","dagegen",8
"36086","und","eventuell",8
"36087","kann","gegen",8
"36088","gelebt","haben",8
"36089","von","amerika",8
"36090","zusammen","sind",8
"36091","bevölkerung","und",8
"36092","nicht","einer",8
"36093","beide","in",8
"36094","dem","konzept",8
"36095","gerecht","werden",8
"36096","die","erholung",8
"36097","ihrem","eigenen",8
"36098","regelmäßig","auf",8
"36099","november","im",8
"36100","sowie","zum",8
"36101","aktivitäten","der",8
"36102","des","gegners",8
"36103","der","gesellschaftlichen",8
"36104","die","bremse",8
"36105","zusammenbruch","der",8
"36106","die","täglich",8
"36107","einladung","des",8
"36108","kamen","mit",8
"36109","die","wärter",8
"36110","wird","selbst",8
"36111","dieser","entwicklung",8
"36112","ländern","wie",8
"36113","fein","würfeln",8
"36114","der","kleidung",8
"36115","man","bereits",8
"36116","entfernen","und",8
"36117","die","feststellung",8
"36118","längst","zu",8
"36119","müssen","für",8
"36120","aller","regel",8
"36121","der","auftakt",8
"36122","von","rot-rot",8
"36123","der","ausgabe",8
"36124","in","erfahrung",8
"36125","deutschland","es",8
"36126","und","finanzkrise",8
"36127","alles","daran",8
"36128","hitze","und",8
"36129","seit","jahrhunderten",8
"36130","dem","rat",8
"36131","die","ulmer",8
"36132","dieser","geschichte",8
"36133","der","auseinandersetzung",8
"36134","zu","steuern",8
"36135","ihre","erste",8
"36136","mitteilung","der",8
"36137","rückkehr","zum",8
"36138","drittel","aller",8
"36139","kinder","der",8
"36140","seiner","stadt",8
"36141","die","herausforderung",8
"36142","können","ein",8
"36143","verteilt","werden",8
"36144","hatte","nun",8
"36145","zu","protestieren",8
"36146","die","übungen",8
"36147","journalisten","und",8
"36148","nicht","vollständig",8
"36149","rezession","in",8
"36150","den","vorzug",8
"36151","noch","größer",8
"36152","mag","kann",8
"36153","einem","zeitpunkt",8
"36154","sehr","leicht",8
"36155","den","frieden",8
"36156","es","fertig",8
"36157","billion","euro",8
"36158","für","bücher",8
"36159","verhält","es",8
"36160","die","agenturen",8
"36161","seine","rede",8
"36162","kat","von",8
"36163","sparkassen","und",8
"36164","usa","im",8
"36165","sowie","auch",8
"36166","mir","vielleicht",8
"36167","den","zahlreichen",8
"36168","die","benutzung",8
"36169","sehr","großen",8
"36170","schwierigen","zeiten",8
"36171","einer","mischung",8
"36172","und","kevin",8
"36173","aufrecht","erhalten",8
"36174","die","schuldenbremse",8
"36175","mindestens","50",8
"36176","stammt","die",8
"36177","gäste","in",8
"36178","aufmerksamkeit","und",8
"36179","gegen","werder",8
"36180","den","spielen",8
"36181","der","angelegenheit",8
"36182","frau","hatte",8
"36183","sagen","haben",8
"36184","erklärte","sie",8
"36185","eine","wirtschaftliche",8
"36186","das","wiederum",8
"36187","er","sah",8
"36188","schließlich","war",8
"36189","als","800",8
"36190","einem","dutzend",8
"36191","23","jahren",8
"36192","konnte","wie",8
"36193","und","informationen",8
"36194","gehört","dazu",8
"36195","wie","sollen",8
"36196","aufgabe","zu",8
"36197","zu","absolvieren",8
"36198","beispiel","durch",8
"36199","vordergrund","stehen",8
"36200","tot","in",8
"36201","hände","und",8
"36202","einen","ganzen",8
"36203","auf","200",8
"36204","wird","außerdem",8
"36205","des","berühmten",8
"36206","erkannt","haben",8
"36207","oben","genannten",8
"36208","april","die",8
"36209","können","dies",8
"36210","aspekt","der",8
"36211","rolle","und",8
"36212","von","andrea",8
"36213","sind","vielfältig",8
"36214","hatte","weil",8
"36215","rolle","mehr",8
"36216","medien","die",8
"36217","der","mächtigen",8
"36218","diese","elektroden",8
"36219","beginnen","und",8
"36220","geben","wie",8
"36221","der","führer",8
"36222","in","la",8
"36223","der","vorratsdatenspeicherung",8
"36224","stampin","up",8
"36225","der","parteien",8
"36226","zum","15",8
"36227","zu","begehen",8
"36228","der","österreichische",8
"36229","nadine","angerer",8
"36230","setzt","der",8
"36231","mit","backpapier",8
"36232","lernt","sie",8
"36233","verhaftet","und",8
"36234","traten","die",8
"36235","ein","referendum",8
